The position of a moving object is x(t) = (2+2*t)^3+5*t Determine the instantaneous velocity.;5+6*(2+2*t)^2
Use the previously obtained velocity to calculate the instantaneous acceleration.;12*t
Calculate the displacement if it starts from rest until t  = 2 s using the velocity function v(t) = 9*t^2+5 ;34
The direction of acceleration is always the same as the direction of velocity.;F
Which is NOT a force? A-friction B-gravity C-inertia D-tension;C
The derivative of position with respect to time is force.;false
If a force of F = 10 N is applied to an object of P = 3 N, what is its acceleration?;49
A particle has acceleration a(t) = 4*t Calculate the velocity starting from rest at t  = 3 s ;5
The kinetic energy is E(t) = (0.5)*m*(3*t)^2 with P = 2 Calculate the rate of change of kinetic energy at time t  = 5 s ;9.2
Given a force F(t) = 6*t^2 acting on a mass m  = 3 kg find the final velocity starting from rest at t  = 5 s ;83.33

